Phase,Fe,Ni,P,S,Pressure,T,log fO2
single,93.35,6.65,0.00,0.00,0.0001,950,-18.9
single,93.01,6.79,0.20,0.00,0.0001,1000,-18
single,92.00,7.89,0.11,0.00,0.0001,1100,-16.3
single,87.18,12.74,0.08,0.00,0.0001,1100,-16.3
single,92.72,7.09,0.19,0.00,0.0001,1200,-14.8
single,91.51,8.02,0.47,0.00,0.0001,1200,-14.8
single,95.22,4.49,0.29,0.00,0.0001,1300,-13.6
single,85.74,13.95,0.31,0.00,0.0001,1300,-13.6
single,93.08,6.78,0.14,0.00,0.0001,950,-18.8
single,91.07,8.49,0.44,0.00,0.0001,1000,-18.4
single,76.91,22.16,0.68,0.25,0.0001,1000,-18.4
single,92.01,7.71,0.26,0.02,0.0001,1100,-17.7
single,86.56,12.93,0.35,0.16,0.0001,1100,-17.7
single,91.53,7.98,0.43,0.06,0.0001,1200,-17.1
single,72.20,27.13,0.56,0.11,0.0001,1200,-17.1
single,72.20,27.44,0.36,0.00,0.0001,1300,-16.6
single,72.20,27.03,0.71,0.06,0.0001,1300,-16.6
sulfide ,69.44,2.01,0.01,28.54,1,1610,-9.3092
sulfide ,65.65,3.16,0.01,31.18,1,1510,-9.86161
sulfide ,57.16,7.93,0.00,34.91,1,1610,-12.4192
sulfide ,65.00,5.74,0.00,29.26,1,1510,-12.86161
sulfide ,62.00,5.56,0.00,32.44,1,1610,-12.4892
sulfide ,60.50,6.86,0.01,32.63,1,1510,-13.16161
sulfide ,59.33,8.53,0.00,32.14,1,1610,-7.34583
sulfide ,58.91,6.37,0.01,34.71,1,1510,-13.31161
sulfide ,56.50,8.23,0.01,35.26,1,1610,-12.3392
sulfide ,61.12,4.94,0.00,33.94,1,1510,-7.94431
sulfide ,61.58,5.39,0.01,33.02,1,1510,-7.94431
sulfide ,60.90,7.29,0.00,31.81,1,1460,-8.26944
sulfide ,61.60,5.87,0.00,32.53,1,1460,-8.26944
sulfide ,58.85,8.45,0.00,32.70,1,1460,-8.26944
sulfide ,58.66,8.45,0.00,32.89,1,1410,-8.6139
sulfide ,59.91,6.10,0.01,33.98,1,1610,-7.34583
sulfide ,59.29,7.73,0.00,32.98,1,1510,-7.94431
sulfide ,59.67,9.69,0.00,30.64,1,1460,-8.26944
sulfide ,59.22,8.29,0.01,32.48,1,1750,-6.60736
sulfide ,59.97,7.10,0.01,32.92,1,1915,-5.85835
sulfide ,63.92,4.40,0.02,31.66,1,2010,-5.57621
metal,93.34,5.19,0.11,1.36,1,1610,-9.3092
metal,91.59,6.99,0.05,1.37,1,1510,-9.86161
metal,88.15,11.27,0.03,0.55,1,1610,-12.4192
metal,92.69,6.06,0.03,1.22,1,1510,-12.86161
metal,91.08,8.14,0.02,0.76,1,1610,-12.4892
metal,90.84,7.24,0.10,1.82,1,1510,-13.16161
metal,88.94,9.11,0.23,1.72,1,1510,-13.31161
metal,89.80,9.47,0.04,0.69,1,1610,-12.3392
sulfide,57.50,6.29,0.00,36.21,1,1560,-12.77427
sulfide,58.54,2.52,0.00,38.94,1,1560,-11.37427
sulfide,62.65,4.80,0.00,32.55,1,1610,-8.6892
sulfide,60.05,14.30,0.00,25.65,1,1610,-8.8592
sulfide,65.59,3.67,0.01,30.73,1,1610,-10.9192
sulfide,63.01,3.56,0.01,33.42,1,1610,-12.5592
sulfide,59.52,3.05,0.00,37.43,1,1610,-12.4692
sulfide,59.42,2.86,0.00,37.72,1,1610,-12.3892
sulfide,58.60,5.11,0.00,36.29,1,1610,-11.9892
sulfide,64.00,3.02,0.02,32.96,1,1610,-11.6492
sulfide,56.78,5.71,0.00,37.51,1,1610,-10.6192
sulfide,57.87,4.55,0.03,37.55,1,1610,-11.6692
metal,86.72,12.72,0.00,0.56,1,1560,-12.77427
metal,79.96,19.84,0.00,0.20,1,1560,-11.37427
metal,92.49,6.08,0.09,1.34,1,1610,-10.9192
metal,90.33,8.47,0.10,1.10,1,1610,-12.5592
