Phase,T,Fe,Ni,P,S,log fO2,Press
metals,1050,89.60,13.40,0.90,0.00,-14.0574,0.000101325
metals,1050,82.40,13.20,0.77,0.00,-14.0574,0.000101325
metals,1100,89.20,10.30,0.81,0.00,-13.2981,0.000101325
metals,1150,84.70,10.70,0.62,0.00,-12.5934,0.000101325
metals,1200,84.60,12.50,0.51,0.00,-11.9375,0.000101325
p-rich,1050,76.30,14.90,7.40,1.70,-14.0574,0.000101325
p-rich,1050,72.70,15.70,7.00,1.90,-14.0574,0.000101325
p-rich,1100,77.90,11.10,5.90,4.80,-13.2981,0.000101325
p-rich,1150,76.20,12.10,5.00,4.90,-12.5934,0.000101325
p-rich,1200,73.30,12.60,3.00,9.50,-11.9375,0.000101325
s-rich,1050,62.60,7.90,0.50,29.00,-14.0574,0.000101325
s-rich,1050,61.60,7.40,0.31,30.00,-14.0574,0.000101325
s-rich,1100,63.90,6.00,0.30,29.60,-13.2981,0.000101325
s-rich,1150,61.60,6.60,0.32,29.40,-12.5934,0.000101325
s-rich,1200,64.30,8.70,0.50,25.00,-11.9375,0.000101325
