Type,T,Phase,Fe,Co,Ni,P,Cr,S,Si,Total,log fO2,change IW,Press
Gas mixing,950,metals,93.35,0.46,6.34,0.00,0.00,0.00,0.00,100.15,-18.90,-3.10,0.0001
Gas mixing,1000,metals,93.01,0.45,6.63,0.20,0.00,0.00,0.03,100.32,-18.00,-3.10,0.0001
Gas mixing,1100,metals,92.00,0.47,7.45,0.11,0.00,0.00,0.03,100.05,-16.30,-3.00,0.0001
Gas mixing,1100,metals,87.18,0.77,12.41,0.08,0.04,0.00,0.00,100.49,-16.30,-3.00,0.0001
Gas mixing,1200,metals,92.72,0.48,6.57,0.19,0.00,0.00,0.02,99.97,-14.80,-2.90,0.0001
Gas mixing,1200,metals,91.51,0.54,9.48,0.47,0.00,0.00,0.03,102.02,-14.80,-2.90,0.0001
Gas mixing,1300,metals,95.22,0.04,0.82,0.29,0.12,0.00,0.05,96.54,-13.60,-2.80,0.0001
Gas mixing,1300,metals,85.74,0.39,10.11,0.31,0.09,0.00,0.05,96.69,-13.60,-2.80,0.0001
Sealed Si tube,950,metals,93.08,0.48,6.55,0.14,0.00,0.00,0.03,100.28,-18.80,-3.00,0.0001
Sealed Si tube,1000,metals,91.07,0.47,6.85,0.44,0.05,0.00,0.00,98.86,-18.40,-3.50,0.0001
Sealed Si tube,1000,metals,76.91,0.50,20.29,0.68,0.07,0.25,0.02,98.72,-18.40,-3.50,0.0001
Sealed Si tube,1100,metals,92.01,0.41,6.94,0.26,0.54,0.02,0.04,100.22,-17.70,-4.40,0.0001
Sealed Si tube,1100,metals,86.56,0.40,13.32,0.35,0.28,0.16,0.03,101.10,-17.70,-4.40,0.0001
Sealed Si tube,1200,metals,91.53,0.32,6.90,0.43,0.10,0.06,0.03,99.37,-17.10,-5.20,0.0001
Sealed Si tube,1200,metals,72.20,0.23,26.58,0.56,0.00,0.11,0.00,99.77,-17.10,-5.20,0.0001
Sealed Si tube,1300,metals,72.20,0.34,3.56,0.36,0.15,0.00,0.07,99.72,-16.60,-5.80,0.0001
Sealed Si tube,1300,metals,72.20,0.40,7.24,0.71,0.09,0.06,0.06,100.55,-16.60,-5.80,0.0001
