Phase,Si,Fe,Mn,Cr,S,Ca,Ti,Mg,Al,Se,Mo,P,Pb,Bi,Cd,Cu,Te,W,Zn,Ni,O,sum,Temp (K),T,change IW,log fO2,Press
sulfides,0.01,69.44,0.01,0.17,28.54,0.00,0.01,0.06,0.02,0.09,0.04,0.01,0.07,0.06,0.05,0.27,0.10,0.02,0.01,0.08,0.90,99.96,1883,1610,-1.7,-9.3092,1
sulfides,0.01,65.65,0.00,0.25,31.18,0.00,0.01,0.01,0.00,0.06,0.03,0.01,0.04,0.08,0.10,0.23,0.06,0.03,0.02,0.07,1.20,99.04,1783,1510,-1.46,-9.86161,1
sulfides,0.03,57.16,0.07,1.06,34.91,0.02,1.34,0.35,0.03,0.13,0.02,0.00,0.17,0.15,0.06,0.27,0.14,0.02,0.15,0.01,0.63,96.72,1883,1610,-4.81,-12.4192,1
sulfides,0.02,65.00,0.02,1.42,29.26,0.04,0.25,0.11,0.01,0.11,0.01,0.00,0.04,0.19,0.09,0.17,0.06,0.05,0.08,,1.94,98.87,1783,1510,-4.46,-12.86161,1
sulfides,0.02,62.00,0.03,1.98,32.44,0.09,0.96,0.08,0.01,0.07,,0.00,0.24,0.17,0.24,0.13,0.34,0.01,0.11,0.02,0.29,99.23,1883,1610,-4.88,-12.4892,1
sulfides,0.04,60.50,0.04,1.04,32.63,0.07,1.17,0.20,0.03,0.12,0.03,0.01,0.06,0.13,0.07,0.18,0.15,0.03,0.07,,0.54,97.11,1783,1510,-4.76,-13.16161,1
sulfides,0.01,59.33,0.01,0.16,32.14,0.02,0.00,0.05,0.01,0.06,0.11,0.00,0.05,0.06,0.05,0.20,0.02,0.03,0.02,0.06,5.43,97.82,1883,1610,cco_buffer -1,-7.34583,1
sulfides,0.05,58.91,0.04,0.96,34.71,0.10,0.89,0.22,0.01,0.09,0.06,0.01,0.03,0.28,0.08,0.22,0.10,0.02,0.05,0.00,0.00,96.83,1783,1510,-4.91,-13.31161,1
sulfides,0.07,56.50,0.06,2.15,35.26,0.08,1.78,0.24,0.03,0.13,0.04,0.01,0.01,0.17,0.11,0.03,0.09,0.02,0.11,0.00,2.83,99.72,1883,1610,-4.73,-12.3392,1
sulfides,0.02,61.12,0.02,0.16,33.94,0.01,0.00,0.00,0.05,0.10,0.15,0.00,0.07,0.01,0.04,0.14,0.09,0.03,0.05,0.08,2.85,98.93,1783,1510,cco_buffer -1,-7.94431,1
sulfides,0.02,61.58,0.02,0.17,33.02,0.03,0.00,0.00,0.03,0.08,0.11,0.01,0.07,0.07,0.06,0.10,0.07,0.03,0.06,0.09,3.35,98.97,1783,1510,cco_buffer -1,-7.94431,1
sulfides,0.03,60.90,0.02,0.14,31.81,0.04,0.01,0.01,0.07,0.15,0.15,0.00,0.07,0.05,0.06,0.18,0.10,0.02,0.05,0.04,5.35,99.25,1733,1460,cco_buffer -1,-8.26944,1
sulfides,0.03,61.60,0.02,0.16,32.53,0.02,0.00,0.01,0.02,0.08,0.11,0.00,0.17,0.10,0.09,0.11,0.04,0.03,0.05,0.09,4.09,99.35,1733,1460,cco_buffer -1,-8.26944,1
